Gamma Ray,Resistivity,Neutron Porosity,Density,Sonic P,Sonic S,Depth,Facies
119.6217,3.0665,0.2856,2.524,91.08703661,171.7844559,4186,
120.2579,3.0096,0.2916,2.4953,92.96761476,174.3199851,4186.5,
121.9075,2.9169,0.2868,2.4774,94.32830428,177.3206912,4187,
127.8931,2.8237,0.3034,2.4701,96.04832594,178.8834591,4187.5,
128.7414,2.7659,0.2994,2.4716,96.18378524,179.7267564,4188,
126.4792,2.8395,0.2851,2.4862,94.87602017,178.7798897,4188.5,
127.8459,2.9263,0.2578,2.4956,94.23855621,180.2493848,4189,
129.9904,2.9634,0.3177,2.5037,95.40603376,177.0396226,4189.5,
134.2321,2.962,0.2946,2.498,94.99234602,177.0045829,4190,
133.5723,2.9424,0.2688,2.4914,94.7661056,179.2655999,4190.5,
127.5868,2.9866,0.2865,2.5043,93.55660579,175.5556587,4191,
125.3244,3.0024,0.2646,2.5012,93.34698753,177.6371196,4191.5,
129.4955,2.9105,0.2804,2.4838,94.8531579,178.5011626,4192,
136.141,2.818,0.2823,2.4809,95.95370967,180.3504172,4192.5,
135.5519,2.7561,0.2788,2.4837,96.14250709,181.6170031,4193,
132.724,2.7492,0.2822,2.4793,96.09422029,181.3353447,4193.5,
135.7639,2.7853,0.2898,2.4743,96.35799097,180.4202168,4194,
135.0805,2.8353,0.2904,2.4808,95.96592146,179.4716995,4194.5,
134.8213,2.8823,0.2768,2.492,95.2125012,179.4500337,4195,
133.1011,2.8903,0.313,2.4977,96.03093131,178.2138536,4195.5,
130.4381,2.8835,0.3025,2.4955,95.19945944,177.3979777,4196,
140.477,2.8782,0.3211,2.4846,98.16270303,181.2896752,4196.5,
154.5927,2.8226,0.3018,2.4855,98.02731104,181.389039,4197,
153.9564,2.8016,0.3038,2.5013,98.06111066,181.5816436,4197.5,
137.767,2.9447,0.3024,2.5094,95.43411228,177.3776916,4198,
123.722,3.0771,0.2754,2.5011,92.70439212,174.8400145,4198.5,
120.5643,3.1511,0.2573,2.4932,92.44920348,176.1004279,4199,
123.887,3.0476,0.256,2.4974,93.17898253,178.0777193,4199.5,
130.8858,2.9041,0.2712,2.499,94.50775825,179.1220665,4200,
134.1143,2.8406,0.2858,2.4943,95.39600275,179.1427166,4200.5,
131.475,2.8323,0.3069,2.491,95.90108344,178.4535077,4201,
128.1523,2.8356,0.2887,2.4947,94.78655482,178.2597278,4201.5,
125.7016,2.8639,0.3069,2.5002,94.54352281,176.4346291,4202,
122.0489,2.8743,0.308,2.4934,94.33171705,176.0567225,4202.5,
120.2344,2.8789,0.2871,2.4904,93.76838144,176.9122758,4203,
123.5099,2.8943,0.2741,2.5099,93.21302021,177.3866948,4203.5,
133.5959,2.9127,0.2741,2.5169,94.04257918,177.9551212,4204,
131.7578,2.926,0.2901,2.4907,94.95754131,177.5360849,4204.5,
126.2199,2.9301,0.2916,2.4704,95.02354802,177.5829859,4205,
129.2363,2.9338,0.2869,2.4797,94.92723725,177.7539744,4205.5,
127.8696,2.9338,0.2884,2.5045,93.85103474,176.2004428,4206,
131.0508,2.9142,0.282,2.53,93.06262057,175.79236,4206.5,
142.9514,2.8664,0.2914,2.5381,94.70135379,177.3098455,4207,
143.9175,2.8793,0.2849,2.5224,95.29636346,178.5099058,4207.5,
138.3561,2.9114,0.2816,2.5066,95.02550635,178.3235807,4208,
133.2424,2.9362,0.2784,2.5026,94.46676461,177.8443299,4208.5,
124.971,2.9625,0.2595,2.5059,93.35158159,178.6337392,4209,
116.676,3.0034,0.2476,2.5064,92.14054349,178.0779211,4209.5,
117.0294,3.0661,0.2571,2.4995,92.19744896,176.6966607,4210,
124.1226,3.098,0.2438,2.4992,92.9304349,178.6095256,4210.5,
125.5601,3.1055,0.2874,2.5053,92.74635969,173.5494088,4211,
129.5662,3.1146,0.2704,2.5049,93.04648931,175.3172824,4211.5,
133.6194,3.1519,0.2428,2.5008,93.45115589,178.6264832,4212,
124.0048,3.2458,0.24,2.4967,92.33199293,176.976189,4212.5,
112.4813,3.2897,0.2457,2.4994,90.68384618,174.1193459,4213,
112.9527,3.2626,0.2497,2.5087,90.32352741,173.3586929,4213.5,
114.343,3.2238,0.2509,2.5033,90.96211196,174.4030169,4214,
117.053,3.1429,0.251,2.4824,92.60993706,177.2889567,4214.5,
125.8193,3.0862,0.2649,2.4654,93.97698477,177.5778879,4215,
132.0641,3.108,0.2631,2.4588,94.20990155,177.5548473,4215.5,
131.2394,3.1645,0.2694,2.4615,93.95246556,176.0459576,4216,
128.5294,3.2044,0.258,2.4671,93.45160022,176.4475103,4216.5,
129.9668,3.2448,0.2553,2.47,93.2670545,176.0806522,4217,
131.5693,3.3061,0.2628,2.4697,93.10117065,174.3771329,4217.5,
133.7609,3.3444,0.2519,2.4661,92.91157489,174.8546971,4218,
133.9493,3.3404,0.2512,2.458,92.95033272,174.970713,4218.5,
129.307,3.3054,0.2629,2.4517,93.12929632,174.4201216,4219,
127.0683,3.2789,0.2645,2.4467,93.21656465,174.6750997,4219.5,
130.1318,3.2569,0.2506,2.435,93.2568642,176.3164258,4220,
128.1051,3.2179,0.2767,2.4394,93.86191038,174.8478676,4220.5,
119.4096,3.1948,0.2729,2.4639,93.03534831,174.6683703,4221,
114.7436,3.167,0.2599,2.4697,92.63818246,176.1331118,4221.5,
